filename,true_label,predicted_label
mask415.jpg,mask,mask
nomask40.jpg,nomask,nomask
mask96.jpg,mask,mask
mask497.jpg,mask,mask
mask206.jpg,mask,mask
mask183.jpg,mask,mask
mask104.jpg,mask,mask
mask417.jpg,mask,mask
mask224.jpg,mask,mask
nomask157.jpg,nomask,nomask
mask256.jpg,mask,mask
nomask79.jpg,nomask,nomask
mask168.jpg,mask,mask
mask310.jpg,mask,mask
mask380.jpg,mask,mask
mask201.jpg,mask,mask
nomask216.jpg,nomask,mask
mask69.jpg,mask,mask
nomask180.jpg,nomask,mask
mask469.jpg,mask,mask
mask455.jpg,mask,mask
nomask158.jpg,nomask,nomask
mask432.jpg,mask,mask
nomask156.jpg,nomask,nomask
mask322.jpg,mask,mask
nomask68.jpg,nomask,mask
mask321.jpg,mask,mask
mask162.jpg,mask,mask
mask47.jpg,mask,mask
mask85.jpg,mask,nomask
mask470.jpg,mask,mask
mask207.jpg,mask,mask
mask21.jpg,mask,mask
mask20.jpg,mask,mask
mask70.jpg,mask,mask
mask400.jpg,mask,mask
mask131.jpg,mask,mask
nomask159.jpg,nomask,nomask
mask358.jpg,mask,mask
mask225.jpg,mask,mask
mask382.jpg,mask,mask
mask218.jpg,mask,mask
mask223.jpg,mask,mask
mask32.jpg,mask,mask
mask63.jpg,mask,mask
mask152.jpg,mask,mask
mask56.jpg,mask,mask
mask66.jpg,mask,mask
nomask82.jpg,nomask,nomask
nomask38.jpg,nomask,nomask
